 n, heap_cmp, heap_swaps, heap_time, bubble_cmp, bubble_swaps, bubble_time
 0,        0,          0,         1,          0,            0,           0
 1,        0,          0,         0,          0,            0,           0
 2,        1,          0,         3,          0,            0,           0
 3,        3,          0,         4,          1,            0,           1
 4,        6,          0,         5,          3,            0,           2
 5,       10,          0,         7,          6,            0,           5
 6,       16,          0,         9,         10,            0,           7
 7,       21,          0,        12,         15,            0,          10
 8,       27,          0,        22,         21,            0,          14
 9,       34,          0,        18,         28,            0,          17
10,       40,          0,        26,         36,            0,          35
